,cast,revenue
3664,Inong,153516
3665,Kemat,153516
3666,Craig Fairbrass,0
3667,James Caan,1369517634
3668,Shannon Elizabeth,258913770
3669,Melissa Ordway,0
3670,Iris Apfel,1339650
3671,Carl Apfel,0
3672,Thomas Dekker,116270450
3673,Mark Wood,0
3674,Lisa Cameron,0
3675,Lisa Livingstone,0
3676,Rebecca Wilkie,0
3677,Adam Coutts,0
3678,Radha Mitchell,804823748
3679,AnaÃ¯s Demoustier,0
3680,Johan Raja Lawak,0
3681,Nurul Elfira Loy,0
3682,Awie,0
3683,Aznil Hj Nawawi,0
3684,The Glam Girls,0
3685,China Anne McClain,0
3686,Kelli Berglund,0
3687,Marshall Williams,0
3688,Noah Centineo,0
3689,Ashley Argota,0
3690,William Shimell,53086
3691,Zen McGrath,53086
3692,Cole Hauser,644424072
3693,Josh Kelly,0
3694,Danielle Savre,0
3695,Bokeem Woodbine,131920470
3696,Ronny Jhutti,0
3697,Ruby Jones,0
3698,Bonnie Lee Bouman,0
3699,Leroy Gopal,0
3700,Lex Shrapnel,0
3701,Andy Buckley,342695435
3702,Sally Kirkland,1700000
3703,Jeffrey Combs,39382771
3704,GÃ©rard Depardieu,236260622
3705,Drena De Niro,0
3706,Amy Ferguson,0
3707,Paul Calderon,2019469
3708,James Randi,0
3709,Adam Savage,0
3710,Bill Nye,0
3711,Uri Geller,0
3712,Penn Jillette,90874570
3713,Anna Torv,0
3714,Dante Basco,0
3715,Hayley Joanne Bacon,0
3716,India Dale-Hill,0
3717,Mike Seal,0
3718,Philip Desmeules,0
3719,Duncan Casey,0
3720,Lee Charles,0
3721,Jordan Long,0
3722,Reece Ritchie,0
3723,Tom Cullen,469947
3724,Nazanin Boniadi,0
3725,Marama Corlett,0
3726,Danielle Harris,29496860
3727,Chelan Simmons,0
3728,Glenn Thomas Jacobs,0
3729,Kaj-Erik Eriksen,0
3730,Callum Turner,0
3731,Vanessa Kirby,0
3732,Paul Schneider,30445511
3733,Anna Camp,115350426
3734,Heather Lawless,0
3735,Antonia Thomas,0
3736,Christian McKay,2347466
3737,Ricky Tomlinson,0
3738,James Lance,0
3739,Jenna Coleman,0
3740,Samuel Anderson,13401952
3741,Dan Starkey,0
3742,Cheng Pei-Pei,0
3743,Andrew Leung,0
3744,Morven Christie,0
3745,Naomi Christie,0
3746,Cleopatra Coleman,0
3747,Fiona Dourif,0
3748,Patrick Warburton,610620742
3749,Efren Ramirez,123609715
3750,Bobb'e J. Thompson,92380927
3751,Alex Honnold,0
3752,Royal Robbins,0
3753,Lynn Hill,0
3754,Dean Potter,0
3755,Katharine McPhee,70442940
3756,JoBeth Williams,357211804
3757,Jessalyn Wanlim,0
3758,Antonio Cupo,0
3759,Ashley C. Williams,2710
3760,Tahyna Tozzi,2710
3761,Jack Noseworthy,53955468
3762,Joel de la Fuente,2710
3763,Cary Woodworth,2710
3764,Jeffrey Ballard,0
3765,ZoÃ« Belkin,0
3766,Michelle Fairley,0
3767,Rosie Day,0
3768,David Rintoul,0
3769,Johnny Knoxville,941095533
3770,Spike Jonze,259831537
3771,Jackson Nicoll,163248899
3772,Gregg Harris,0
3773,Lukas Haas,99498575
3774,Sabina Gadecki,0
3775,Benedict Samuel,0
3776,Rosanna Arquette,146811158
3777,Goran Visnjic,818503667
3778,Gaspard Ulliel,82169884
3779,JÃ©rÃ©mie Renier,0
3780,Louis Garrel,15121165
3781,Amira Casar,29456000
3782,Christian Howard,0
3783,Mike Moh,0
3784,Akira Koieyama,0
3785,Gaku Space,0
3786,Noah Silver,0
3787,Madisen Beaty,0
3788,Angela DiMarco,0
3789,David S. Hogan,0
3790,Kate Alden,0
3791,Gabriel Congdon,0
3792,Ben Andrews,0
3793,Leo Fafard,0
3794,Amy Matysio,0
3795,Jonathan Cherry,13818181
3796,Aidan Devine,0
3797,Naya Rivera,0
3798,Catalina Sandino Moreno,4607608
3799,Kate Flannery,0
3800,Roger Waters,0
3801,Josh Hopkins,0
3802,Scott Mechlowicz,21400790
3803,Alphonso McAuley,0
3804,Winter Ave Zoli,0
3805,Kamille Leai,0
3806,Vanessa Branch,0
3807,Johnny Pacar,1169603
3808,Shaun Sipos,1169603
3809,Bryan Dechart,1169603
3810,Italia Ricci,1169603
3811,Georgina Beedle,0
3812,Ralitsa Paskaleva,0
3813,Dan Cade,0
3814,Betty Gilpin,0
3815,Marin Ireland,114281051
3816,Glenn Close,1544342317
3817,Robert Carradine,101177897
3818,Tony Evangelista,0
3819,Rib Hillis,0
3820,Conan O'Brien,223959
3821,Hensy Pichardo,0
3822,Brendan O'Carroll,23000000
3823,Jennifer Gibney,23000000
3824,Eilish O'Carroll,23000000
3825,Danny O'Carroll,23000000
3826,Fiona O'Carroll,23000000
3827,JosÃ©phine de la Baume,14752
3828,Allen Iverson,0
3829,Tom Brokaw,0
3830,Dwyane Wade,0
3831,Carmelo Anthony,0
3832,Larry Brown,0
3833,Tricia Helfer,0
3834,Brian Van Holt,68766121
3835,Andrea Roth,9444018
3836,Catherine Deneuve,74499422
3837,Pio MarmaÃ¯,0
3838,FÃ©odor Atkine,0
3839,Nicolas Bouchaud,0
3840,Gustave de Kervern,0
3841,Nicole Alonso,0
3842,Torey Byrne,0
3843,Tommy Ball,0
3844,Will Crown,0
3845,David Paul Baker,0
3846,Vyacheslav Fetisov,0
3847,Vladimir Pozner,0
3848,Stephen Rakes,0
3849,James J. Bulger,0
3850,Tommy Donahue,0
3851,David Boeri,0
3852,Chris Mulkey,95000000
3853,Gael GarcÃ­a Bernal,156472098
3854,Jason Jones,0
3855,Haluk Bilginer,0
3856,Nasser Faris,0
3857,Vivian Sung,0
3858,Bruce Bu Lu-Si,0
3859,Megan Lai,0
3860,Marcus Chang,0
3861,Lee Luo,0
3862,Brenda Blethyn,216641060
3863,Dolores Heredia,1759252
3864,Elisa Lasowski,0
3865,MyAnna Buring,171760
3866,Tobin Bell,792948597
3867,Patrick Muldoon,0
3868,Mark DeCarlo,80936232
3869,John Paul Tremblay,3833507
3870,Robb Wells,4506155
3871,Mike Smith,3833507
3872,John Dunsworth,0
3873,Jonathan Torrens,0
3874,Xavier Dolan,0
3875,Emmanuelle Vaugier,0
3876,Kristin Bauer van Straten,0
3877,Jon Cor,0
3878,Jesse Carere,0
3879,Drew Justice,0
3880,Rio Mangini,0
3881,Jenna Ortega,0
3882,Eden Wood,0
3883,Jet Jurgensmeyer,0
3884,Natasha Henstridge,215492611
3885,James Gaisford,0
3886,Tatum Chiniquy,0
3887,Oona Chaplin,0
3888,Janet Montgomery,0
3889,Joey Lauren Adams,451822853
3890,Elizabeth Gillies,0
3891,Paul Iacono,0
3892,Thorsten Kaye,0
3893,Amaury Nolasco,22942221
3894,Melanie Lynskey,279489237
3895,Simon Helberg,38275486
3896,Benedict Lim,0
3897,Danil Ishutin,0
3898,Clinton Loomis,0
3899,Danielle Dallacco,0
3900,Angelica Boccella,0
3901,Giovanni Roselli,0
3902,Chris Lazzaro,0
3903,Nicole Rutigliano,0
3904,Jennifer Lee,0
3905,Walt Disney,0
3906,Morgan McClellan,0
3907,Lara Vosburgh,0
3908,Colleen McGrann,0
3909,Christopher Parker,0
3910,Brian Flaherty,0
3911,Rachel Mills,0
3912,Joshua Zeman,0
3913,Dina Shihabi,0
3914,Laith Nakli,0
3915,David Rasche,20047604
3916,Dakota Goyo,324442824
3917,Bridget Moynahan,553409227
3918,Linda Kash,0
3919,Kendra Leigh Timmins,0
3920,Grumpy Cat,0
3921,Megan Charpentier,146497771
3922,Russell Peters,147332697
3923,Carlos Boettcher,0
3924,Mike Boettcher,0
3925,Kalen M. Waite,0
3926,AndrÃ¡s SÃ¼tÃ¶,0
3927,ÃdÃ¡m Varga,0
3928,Lajos OttÃ³ HorvÃ¡th,0
3929,EnikÃ¶ BÃ¶rcsÃ¶k,0
3930,Zita TÃ©by,0
3931,Stuart Rigby,0
3932,Elizabeth Friedman,0
3933,Alena Savostikova,0
3934,Bailey Gaddis,0
3935,Lauren Bronleewe,0
3936,Haylie Duff,11449638
3937,Chris Soldevilla,0
3938,Leslie Easterbrook,31203835
3939,Angie Everhart,5
3940,Alison Becker,0
3941,Collin Dean,0
3942,John Cleese,1420855827
3943,Oliver Sacks,0
3944,Bobby McFerrin,0
3945,Ranveer Singh,0
3946,Arjun Kapoor,0
3947,Priyanka Chopra,0
3948,Tahar Rahim,5446000
3949,ArsinÃ©e Khanjian,65460
3950,Akin Gazi,0
3951,George Georgiou,0
3952,Patrick J. Adams,0
3953,Carole Bouquet,195312802
3954,Christina Cole,0
3955,Joe Swanberg,14356221
3956,Sheridan Smith,0
3957,Sean Maguire,84646831
3958,Izzy Meikle-Small,0
3959,Cheryl Ladd,0
3960,Patrick Lyster,0
3961,Rachel Hendrix ,5355847
3962,Scott Mortensen,0
3963,Elliott Hanna,0
3964,Ruthie Henshall,0
3965,Deka Walmsley,0
3966,Ann Emery,368100420
3967,Chris Grahamson,0
3968,Gregg Sulkin,0
3969,Ian Anthony Dale,967000
3970,Billy Campbell,113801187
3971,Michael Michele,9237470
3972,Laura Harring,82251107
3973,Abby Elliott,0
3974,Glen Powell,0
3975,Brandy Schaefer,0
3976,Zack Andrews,0
3977,Bobby Roe,0
3978,Mikey Roe,0
3979,Jeff Larson,0
3980,Gemma Jones,322133056
3981,Tony Curran,118384054
3982,Nicholas Gleaves,0
3983,Jordan Murphy,0
3984,John Hennigan,0
3985,Christian Oliver,0
3986,Christina Wolfe,0
3987,Marcus Shirock,0
3988,James Duval,177631
3989,Billy Crystal,1910331504
3990,Dave Foley,0
3991,Sean Hayes,247171901
3992,Ryan Ochoa,0
3993,Eric Allan Kramer,35739755
3994,Calum Worthy,0
3995,Roshon Fegan,0
3996,Gigi Rice,0
3997,Tim Blake Nelson,237854228
3998,Jake Croker,0
3999,Aren Buchholz,0
4000,Beau Garrett,0
4001,Dichen Lachman,0
4002,Caitlin Stasey,16504936
4003,Maurissa Tancharoen,0
4004,Leah Pipes,27206120
4005,Thomas McDonell,10130000
4006,Alex Russell,227394288
4007,Zachary Knighton,25469442
4008,Johanna Braddy,38610009
4009,Miles Fisher,157887643
4010,Max Adler,0
4011,Kathryn McCormick,140470746
4012,Finola Hughes,64892670
4013,Carolyn Hennesy,0
4014,Erin Cardillo,0
4015,Jim Jefferies,0
4016,Harley Sylvester,0
4017,Doug Allen,0
4018,Jay Simpson,0
4019,Vas Blackwood,0
4020,Marc Evan Jackson,0
4021,Sidney Bernstein,0
4022,Billy Wilder,0
4023,Todd Field,0
4024,Sara Malakul Lane,0
4025,Samantha Cardona,0
4026,Erin O'Brien,0
4027,Jennifer Robyn Jacobs,0
4028,Rebecca Rowley,0
4029,Brian Armstrong,0
4030,Margaux Avedisian,0
4031,Vitalik Buterin,0
4032,Mike Caldwell,0
4033,Huang Bo,0
4034,Xu Zheng,0
4035,Zhou Dong-Yu,0
4036,Yuan Quan,0
4037,Martha Higareda,65569869
4038,Miri Higareda,0
4039,Michel Brown,0
4040,Juan Pablo Medina,0
4041,Barbara Alyn Woods,0
4042,James Adomian,0
4043,Jake Cherry,574480841
4044,Derek Waters,0
4045,Jonathan Sadowski,18112929
4046,Al Thompson,0
4047,David Aaron Baker,0
4048,Cherami Leigh,0
4049,Drew Monson,0
4050,Lisa Schwartz,0
4051,Michelle Veintimilla,0
4052,Patricia Callahan,192400
4053,Matthew Crawford,192400
4054,Stanton A. Glantz,192400
4055,Katharine Heyhoe,192400
4056,Sylvie Testud,0
4057,Anne Consigny,0
4058,Laura Smet,0
4059,Grace Helbig,0
4060,Hannah Hart,0
4061,Mamrie Hart,0
4062,Olivia Alexander,0
4063,Chris Riedell,0
4064,Sebastian Ingrosso,0
4065,Axel Axwell Hedfors,0
4066,Steve Angello,0
4067,Lars Mikkelsen,0
4068,Ashley Walters,0
4069,Zlatko BuriÄ‡,0
4070,Adam Deacon,165000
4071,Howard Scott Warshaw,0
4072,Manny Gerard,0
4073,Joe Lewandowski,0
4074,Paul Sanchez,429632142
4075,Zachary Soetenga,0
4076,Lindsey McKeon,0
4077,Sofia Pernas,0
4078,Jamie Anderson,0
4079,Rani Mukerji,0
4080,Tahir Bhasin,0
4081,Jisshu Sengupta,0
4082,Sanjay Taneja,0
4083,Amelle Chahbi,0
4084,Noom Diawara,0
4085,Aude Pepin,0
4086,Fabrice EbouÃ©,0
4087,Carl Sagan,0
4088,Anna Nerman,0
4089,Camilla HammarstrÃ¶m,0
4090,Hanna Mellin,0
4091,FÃ©lix de Givry,65460
4092,Pauline Ã‰tienne,65460
4093,Shantel VanSanten,186167139
4094,John Robinson,23423979
4095,James Patrick Stuart,0
4096,Brittany Murphy,511458824
4097,Robert Blanche,10000000
4098,Elizabeth Roberts,0
4099,Rik Swartzwelder,0
4100,LeJon Woods,0
4101,Tyler Hollinger,0
4102,Dorothy Silver,0
4103,Jeremy Ray Valdez,0
4104,Juliocesar Chavez,0
4105,Sonam Kapoor,0
4106,Fawad Afzal Khan,0
4107,Kirron Kher,0
4108,Ratna Pathak,0
4109,Aditi Rao Hydari,0
4110,Joss Whedon,0
4111,J.J. Abrams,621951
4112,Steven S. DeKnight,0
4113,Ronald D. Moore,0
4114,Jane Espenson,0
4115,Adam Gregory,0
4116,Timothy S. Shoemaker,0
4117,Ben Urie,0
4118,Michael Todd Behrens,0
4119,David Morgan,0
4120,Michael Gladis,0
4121,Tom Gallop,0
4122,Shawn Parsons,0
4123,Scott Beehner,0
4124,Brace Harris,0
4125,Eileen O'Connell,0
4126,Jordan Black,0
4127,Jon Brion,0
4128,Elliott Smith,0
4129,LaMonta Caldwell,1422910
4130,Sterling Jones,0
4131,Dan Kearney,1422910
4132,Juan 'Doc Restrepo,1422910
4133,Aron Hijar,1422910
4134,Dinesh D'Souza,0
4135,Barack Obama,7871522
4136,Josh Bonzie,0
4137,Rich Bentz,0
4138,Bram Hoover,0
4139,Tas Pappas,0
4140,Ben Pappas,0
4141,Tegan Crowley,0
4142,Scott Marcus,0
4143,Steven Kennedy,0
4144,Don Bridges,0
4145,Nick Stribakos,0
4146,Mathieu Kassovitz,130358911
4147,CÃ©line Sallette,0
4148,David Gastou,0
4149,Chelsea Handler,11417362
4150,George Takei,743900000
4151,Leonard Nimoy,1038333435
4152,Nichelle Nichols,0
4153,Lea Salonga,304320254
4154,Nas,173684441
4155,Alicia Keys,38105395
4156,Busta Rhymes,237544864
4157,Q-Tip,0
4158,Pete Rock,0
4159,Jeremy Clarkson,0
4160,Richard Hammond,0
4161,J. Michael Trautmann,0
4162,Daniel Fredrick,0
4163,Clint James,0
4164,Victoria Spencer Smith,0
4165,Matt Passmore,0
4166,Katie Walder,0
4167,Nathan Keyes,0
4168,Laura Gordon,0
4169,Caroline Clements,0
4170,Adam Bucci,0
4171,Michael Adam Hamilton,0
4172,Jack Turner,0
4173,Tom Stedham,0
4174,Bill Voorhees,0
4175,Tino Struckmann,0
4176,Larry Gamell Jr.,0
4177,Lauren Vera,0
4178,Robson Nunes,0
4179,BabÃº Santana,0
4180,Alinne Moraes,0
4181,CauÃ£ Reymond,0
4182,Valdineia Soriano,0
4183,Emma Booth,4878242
4184,Lily Pearl,4878242
4185,Matthew Vandyke,0
4186,Laura Dekker,0
4187,Justin Peck,0
4188,Chelsea Peretti,0
4189,Yassir Lester,0
4190,Moshe Kasher,0
4191,Esther Povitsky,0
4192,Brendon Walsh,0
4193,Andrew Howard,161849455
4194,Arielle Kebbel,144784403
4195,Rob Brydon,1818178
4196,Rosie Fellner,0
4197,Claire Keelan,951179
4198,Marta Barrio,0
4199,Lawrence Makoare,5240
4200,Te Kohe Tuhaka,5240
4201,Xavier Horan,5240
4202,Rena Owen,2206366
4203,Sunil Thapa,0
4204,Darshan Kumaar,0
4205,Robin Das,0
4206,Mosab Hassan Yousef,0
4207,Gonen Ben Yitzhak,0
4208,Sheikh Hassan Yousef,0
4209,Aisling Franciosi,0
4210,Brent Butt,0
4211,Gabrielle Miller,0
4212,Fred Ewanuick,0
4213,Eric Peterson,0
4214,Janet Wright,0
4215,Keegan Edwards,0
4216,Jay Reinke,0
4217,Olivia Williams,847997554
4218,Matthew Modine,115743711
4219,Antonia Clarke,0
4220,Adam Thomas Wright,0
4221,Govinda,2332071
4222,Saif Ali Khan,4099000
4223,Kalki Koechlin,0
4224,Ileana D'Cruz,0
4225,Kim DeJesus,0
4226,Joe Cross,0
4227,Dirk Nowitzki,0
4228,Holger Geschwinder,0
4229,Kobe Bryant,0
4230,Michael Finley,0
4231,Steve Nash,0
4232,Mitt Romney,0
4233,Alysa King,0
4234,Madison Ferguson,0
4235,Christophe Gallander,0
4236,Samora Smallwood,0
4237,Bart Rochon,0
4238,Laetitia Casta,0
4239,Ramzy Bedia,0
4240,Gaspard Proust,0
4241,AndrÃ© Dussollier,2460115
4242,Nargis Fakhri,0
4243,Varun Dhawan,0
4244,Anupam Kher,76920641
4245,Richard Stanley,0
4246,Fairuza Balk,283247906
4247,Marco Hofschneider,0
4248,Kier-La Janisse,0
4249,Michael Gingold,0
4250,Ali Zafar,0
4251,Parineeti Chopra,0
4252,Ian Ogilvy,0
4253,Alison Doody,474171806
4254,Christopher Ellison,0
4255,Danny-Boy Hatchard,0
4256,Lysette Anthony,0
4257,Deepika Padukone,427628
4258,Naseeruddin Shah,400654
4259,Dimple Kapadia,0
4260,Harry Styles,0
4261,Niall Horan,0
4262,Zayn Malik,0
4263,Louis Tomlinson,0
4264,Liam Payne,0
4265,Reed Albergotti,383294
4266,Alia Bhatt,0
4267,Ashutosh Rana,0
4268,Siddharth Shukla,0
4269,Sharon Hinnendael,0
4270,Jill Evyn,0
4271,Constance Brenneman,0
4272,Michael Airington,0
4273,Tim Gunn,0
4274,Jeff Hiller,0
4275,Dan Savage,0
4276,Peter Cushing,795856347
4277,Alec Guinness,984307570
4278,Roger Moore,1316109397
4279,Barbara Bach,192668673
4280,Curd JÃ¼rgens,185438673
4281,Richard Kiel,395738673
4282,Caroline Munro,196438673
4283,Bob Newhart,99147330
4284,Eva Gabor,154822587
4285,Geraldine Page,113376718
4286,Joe Flynn,71215869
4287,Jeanette Nolan,71215869
4288,Woody Allen,505676392
4289,Carol Kane,124089520
4290,Paul Simon,38251425
4291,Sean Marshall,0
4292,Helen Reddy,14870
4293,Mickey Rooney,136731503
4294,Red Buttons,84563118
4295,Jim Dale,0
4296,FranÃ§ois Truffaut,303788635
4297,Teri Garr,625259348
4298,Melinda Dillon,413798366
4299,Bob Balaban,465795562
4300,Dirk Bogarde,50750000
4301,Sean Connery,2578163307
4302,Edward Fox,68980000
4303,Sebastian Cabot,205843612
4304,Sterling Holloway,261518869
4305,Paul Winchell,55675257
4306,Junius Matthews,0
4307,Barbara Luddy,0
4308,Dean Jones,147214049
4309,Don Knotts,314432665
4310,Julie Sommars,0
4311,Jacques Marin,0
4312,Roy Kinnear,4000000
4313,Patrick Wayne,16000000
4314,Taryn Power,16000000
4315,Margaret Whiting,16000000
4316,Patrick Troughton,16000000
4317,Gene Hackman,2657152978
4318,Terence Hill,0
4319,Ian Holm,1104037728
4320,Jack O'Halloran,0
4321,Barry Miller,282984554
4322,Joseph Cali,237113184
4323,Paul Pape,237113184
4324,Madeline Kahn,321502263
4325,Cloris Leachman,908460186
4326,Harvey Korman,182235945
4327,Ron Carey,31063038
4328,Burt Reynolds,1027740975
4329,Jerry Reed,387724998
4330,Jackie Gleason,198549004
4331,Mike Henry,126737428
4332,Franco Columbu,0
4333,Lou Ferrigno,10676194
4334,Roger Callard,0
4335,Serge Nubret,0
4336,Sondra Locke,196544695
4337,Pat Hingle,626328784
4338,William Prince,26414658
4339,Bill McKinney,183427562
4340,James Coburn,1033222914
4341,Maximilian Schell,45841901
4342,James Mason,53977250
4343,David Warner,97423058
4344,Klaus LÃ¶witsch,0
4345,Liza Minnelli,110142874
4346,Lionel Stander,0
4347,Barry Primus,0
4348,Paul Newman,1343995827
4349,Strother Martin,176899782
4350,Michael Ontkean,28000000
4351,Jennifer Warren,28000000
4352,Lindsay Crouse,46553664
4353,Keith Carradine,16826432
4354,Albert Finney,530953422
4355,Robert Stephens,1500000
4356,Tom Conti,346594
4357,Jason Robards,342132357
4358,Hal Holbrook,403748029
4359,Marsha Mason,144724030
4360,John Beck,48344729
4361,Susan Swift,0
4362,John Hillerman,30000000
4363,Linda Blair,473437749
4364,Richard Burton,155235831
4365,Louise Fletcher,248701603
4366,Max von Sydow,1530574226
4367,Kitty Winn,30749142
4368,Jack Lemmon,137554574
4369,Lee Grant,83898333
4370,Brenda Vaccaro,74785053
4371,Joseph Cotten,59548294
4372,Olivia de Havilland,30000000
4373,Michael Palin,76903920
4374,Harry H. Corbett,0
4375,John Le Mesurier,0
4376,Max Wall,0
4377,Warren Mitchell,0
4378,Jack Nance,45221568
4379,Charlotte Stewart,7000000
4380,Allen Joseph,7000000
4381,Jeanne Bates,7000000
4382,Judith Roberts,7000000
4383,Linda Haynes,0
4384,James Best,0
4385,Dabney Coleman,276023634
4386,Anthony Quinn,186389080
4387,Irene Papas,62112895
4388,Michael Ansara,0
4389,Johnny Sekka,0
4390,Michael Forest,0
4391,Orson Bean,22863596
4392,Richard Boone,0
4393,Hans Conried,0
4394,John Huston,30000000
4395,Otto Preminger,0
4396,Richard Chamberlain,1496227
4397,Patrick McGoohan,318304940
4398,Louis Jourdan,183892816
4399,Robert Shaw,716399092
4400,Marthe Keller,21709020
4401,Fritz Weaver,0
4402,Steven Keats,22000000
4403,David Niven,105070884
4404,Jodie Foster,1814745879
4405,Helen Hayes,0
4406,Leo McKern,77285106
4407,Veronica Quilligan,0
4408,David Carradine,366575205
4409,Liv Ullmann,0
4410,Heinz Bennent,0
4411,Gert FrÃ¶be,124900000
4412,Isolde Barth,0
4413,Charles Bronson,82205016
4414,Jack Warden,425430125
4415,Clint Walker,0
4416,Slim Pickens,132440272
4417,Stuart Whitman,29950000
4418,Richard Harris,1583599258
4419,Will Sampson,26667338
4420,Keenan Wynn,30158126
4421,Roy Scheider,908643576
4422,Bruno Cremer,12000000
4423,Francisco Rabal,12000000
4424,Amidou,12000000
4425,Ramon Bieri,12000000
4426,Olivia Hamnett,1258000
4427,David Gulpilil,329761506
4428,Frederick Parslow,1258000
4429,Vivean Gray,1258000
4430,John Denver,41687243
4431,George Burns,41687243
4432,Donald Pleasence,280368198
4433,Ralph Bellamy,595087243
4434,Shelley Duvall,136877155
4435,Sissy Spacek,110276430
4436,Janice Rule,0
4437,Robert Fortier,0
4438,Ruth Nelson,52096475
4439,Tiffany Bolling,17000000
4440,Woody Strode,17000000
4441,Lieux Dressler,17000000
4442,David McLean,17000000
4443,Kathleen Lloyd,0
4444,John Marley,136400000
4445,R. G. Armstrong,20659377
4446,Doris Dowling,0
4447,Bob Holt,9000000
4448,Jesse Welles,9000000
4449,Richard Romanus,12000000
4450,David Proval,12000000
4451,George Segal,432562485
4452,Richard Widmark,10000000
4453,Timothy Bottoms,36317663
4454,Henry Fonda,69255967
4455,Susan Strasberg,0
4456,Martin Speer,25000000
4457,Russ Grieve,25000000
4458,John Steadman,25000000
4459,James Whitworth,25000000
4460,Virginia Vincent,25000000
4461,Julie Christie,363388868
4462,Gerrit Graham,47478926
4463,Berry Kroeger,0
4464,Lisa Lu,0
4465,Evan C. Kim,0
4466,Bong Soo Han,0
4467,Marilyn Joi,0
4468,Saul Kahan,0
4469,Marcy Goldman,0
4470,Burt Lancaster,126318829
4471,Nigel Davenport,0
4472,Barbara Carrera,172232628
4473,Richard Basehart,0
4474,John Amplas,0
4475,Lincoln Maazel,0
4476,Christine Forrest,5344577
4477,Elyane Nadeau,0
4478,Tom Savini,14000000
4479,"Louis Gossett, Jr.",278481384
4480,Eli Wallach,236109704
4481,Joan Collins,59468275
4482,Robert Lansing,0
4483,John David Carson,0
4484,Albert Salmi,0
4485,Jacqueline Scott,0
4486,Christopher George,1198346
4487,Leslie Nielsen,279898473
4488,Lynda Day George,1198346
4489,Richard Jaeckel,42080282
4490,Chris Sarandon,269109991
4491,Cristina Raines,3
4492,Martin Balsam,218611462
4493,JosÃ© Ferrer,30925693
4494,Burgess Meredith,585080959
4495,Quinn Cummings,102000000
4496,Paul Benedict,102000000
4497,Barbara Rhoades,102000000
4498,Gena Rowlands,330016219
4499,John Cassavetes,78695426
4500,Ben Gazzara,156730306
4501,Joan Blondell,0
4502,Paul Stewart,0
4503,Marilyn Chambers,0
4504,Frank Moore,0
4505,Joe Silver,0
4506,Howard Ryshpan,0
4507,Patricia Gage,0
4508,John Carradine,18016290
4509,Brooke Adams,44813149
4510,Fred Buch,0
4511,Jack Davidson,0
4512,Sigourney Weaver,4675839129
4513,Eli Roth,319131050
4514,Rhona Mitra,525240053
4515,Shane Brolly,298376455
4516,Jordan Nagai,731342744
4517,Bob Peterson,731342744
4518,Moon Bloodgood,544598326
4519,Jason Cope,251857353
4520,Nathalie Boltt,210819611
4521,Sylvaine Strike,210819611
4522,Elizabeth Mkandawie,210819611
4523,Geoffrey Arend,79215096
4524,Justin Bartha,1519159972
4525,Thandie Newton,1821783144
4526,Oliver Platt,2155571350
4527,Ayelet Zurer,356613439
4528,Pierfrancesco Favino,361464683
4529,Anika Noni Rose,304045765
4530,Bruno Campos,267045765
4531,Keith David,531912215
4532,Michael-Leon Wooley,267045765
4533,Jennifer Cody,267045765
4534,Quinton Aaron,309208309
4535,Tim McGraw,350737503
4536,Jae Head,933237680
4537,Billy Burke,1316762668
4538,Betty White,406250693
4539,Bree Turner,205298907
4540,Nick Searcy,208836868
4541,Anna Faris,1915194711
4542,Mr. T,242988466
4543,Teri Hatcher,557505968
4544,Jennifer Saunders,158923789
4545,Dawn French,124596398
4546,Hank Azaria,2730186631
4547,Matthew Perry,315206521
4548,Tyler Steelman,136267476
4549,Steve Valentine,325233863
4550,Daryl Sabara,790199133
4551,Sage Ryan,325233863
4552,Catherine Zeta-Jones,1929205399
4553,Art Garfunkel,30420289
4554,Joanna Gleason,112983231
4555,Lynn Whitfield,57231524
4556,Keir O'Donnell,183293131
4557,Jayma Mays,891799821
4558,Shirley Knight,189831308
4559,Sarah Roemer,184160625
4560,Colm Meaney,363215471
4561,Michael Zegen,37403357
4562,James Rebhorn,276852432
4563,Dwight Yoakam,474189420
4564,Julanne Chidi Hill,34560577
4565,Antje Traue,20645327
4566,Jane Horrocks,224834564
4567,Alison Lohman,180257460
4568,Lorna Raver,90842646
4569,Dileep Rao,90842646
4570,David Paymer,279101630
4571,Sarah Polley,147454881
4572,Delphine ChanÃ©ac,0
4573,David Hewlett,501818
4574,Abigail Chu,0
4575,Chandler Canterbury,159052757
4576,Nadia Townsend,155446362
4577,Dominique McElligott,10370896
4578,Rosie Shaw,9760104
4579,Adrienne Shaw,9760104
4580,PenÃ©lope Cruz,2245403609
4581,Tracy Morgan,488801381
4582,Kristin Cavallari,0
4583,Jerry Shea,0
4584,Nestor Aaron Absera,0
4585,Steve Talley,0
4586,Victor Gojcaj,150166126
4587,Hugh Dancy,169703518
4588,Breckin Meyer,771786655
4589,Amber Valletta,705617767
4590,Crystal Allen,0
4591,Linden Ashby,147247920
4592,Calin Stanciu,0
4593,Jared Leto,661607016
4594,Diane Kruger,1015532215
4595,Linh Äan Pháº¡m,3547209
4596,Mare Winningham,215673540
4597,Katie Jarvis,2357852
4598,Kierston Wareing,2357852
4599,Rebecca Griffiths,2357852
4600,Max Thieriot,56123168
4601,R. H. Thomson,8459458
4602,Cedric the Entertainer,1038378689
4603,Andy Richter,223959
4604,Carl Reiner,18196170
4605,David Schwimmer,2049471492
4606,Danny Jacobs,0
4607,Johnny Simmons,108156746
4608,Isabelle Fuhrman,41596251
4609,CCH Pounder,257172597
4610,DJ Qualls,159859820
4611,Bobby Campo,186167139
4612,Nick Zano,186167139
4613,Haley Webb,186167139
